id	movies_95_04	main_genre
15629	12	Thriller
5026	16	Drama
11252	33	Drama
5150	20	Comedy
4057	18	Drama
12373	24	Drama
3453	11	Drama
9878	12	Music
4988	21	Music
13032	11	Adult
13060	11	Adult
3541	36	Drama
9373	24	Comedy
4120	15	Drama
14308	12	Thriller
13517	13	Drama
12059	10	Romance
3932	10	Music
577	16	Comedy
1362	20	Sci-Fi
9764	11	Comedy
6511	12	Music
10932	15	Drama
13040	13	Music
2416	30	Sci-Fi
9554	20	Comedy
11701	15	Drama
11054	15	Drama
13485	36	Drama
10043	16	Adult
14551	12	Romance
893	12	Comedy
9573	18	Drama
647	10	Drama
1867	13	Adult
16112	10	Horror
12091	10	Romance
1460	18	Comedy
11180	33	Thriller
7320	15	Drama
15151	19	Drama
6151	10	Drama
2645	16	Drama
17284	11	Musical
4152	29	Comedy
15006	31	Adult
9570	26	Drama
5314	23	Comedy
560	32	Comedy
15399	19	Romance
2101	15	Comedy
9998	10	Drama
17796	23	Adult
14912	16	Adult
10650	12	Comedy
7204	13	Comedy
5434	10	Action
4433	15	Drama
16012	13	Drama
9599	35	Comedy
15167	18	Drama
6945	14	Drama
2875	25	Music
817	38	Comedy
14305	11	Drama
11818	31	Drama
13947	11	Comedy
538	32	Drama
17479	10	Romance
1166	25	Drama
397	15	Drama
17872	17	Drama
10103	17	Music
17326	20	Drama
14786	29	Comedy
10672	10	Drama
10577	10	Comedy
16156	10	Romance
10489	15	Drama
2958	14	Romance
10840	22	Drama
5850	17	Crime
12291	32	Crime
1615	144	Adult
6812	32	Thriller
17022	15	Drama
6434	23	Adult
11935	11	Drama
10738	14	Music
7242	32	Drama
5622	11	Comedy
10965	16	Comedy
1527	11	Comedy
17528	15	Comedy
918	13	Drama
14914	11	Adult
15513	10	Adult
9652	23	Drama
368	12	Drama
13696	15	Drama
1245	27	Drama
4301	31	Drama
12830	20	Romance
11700	10	Romance
1640	212	Adult
13909	13	Horror
16662	11	Comedy
3328	23	Drama
11318	20	Drama
3860	19	Music
4801	20	Drama
10388	14	Comedy
10740	20	Comedy
11487	14	Adult
11616	12	Comedy
2040	12	Drama
3320	40	Drama
5214	11	Drama
4248	21	Drama
7956	17	Drama
1917	29	Adult
5298	13	Drama
17606	16	Adult
458	23	Drama
17632	11	Romance
8412	13	Thriller
4158	25	Comedy
4263	86	Sci-Fi
6682	43	Sci-Fi
10457	13	Drama
7175	17	Action
6292	48	Adult
2441	31	Sci-Fi
8820	11	Sci-Fi
4626	21	Drama
12386	28	Drama
8006	14	Drama
1965	66	Adult
14370	16	Thriller
1585	23	Adult
9629	18	Drama
1794	27	Adult
6192	10	Adult
15785	12	Comedy
3683	34	Drama
6836	10	Drama
15989	13	Drama
299	35	Comedy
5242	13	Romance
6368	22	Drama
9656	10	Drama
15946	11	Romance
16827	13	Drama
4440	15	Drama
14708	20	Adult
2949	28	Comedy
1458	20	Romance
7618	23	Comedy
8782	21	Thriller
5100	22	Comedy
5801	15	Drama
559	28	Romance
13731	33	Drama
1479	10	Drama
12733	15	Drama
14097	12	Drama
4173	13	Romance
619	11	Comedy
3256	43	Drama
13074	18	Romance
13586	11	Adult
14570	10	Drama
16034	11	Romance
8974	69	Music
5603	20	Drama
1646	13	Adult
11736	14	Drama
11404	38	Comedy
9578	17	Drama
8233	13	Romance
17794	10	Drama
1807	79	Adult
10699	67	Adult
7159	17	Horror
6240	10	Adult
12913	10	Drama
10724	27	Thriller
5860	36	Thriller
3639	17	Drama
17623	12	Family
6564	18	Thriller
10794	47	Action
16709	12	Drama
11197	20	Crime
14396	21	Comedy
4484	24	Drama
3688	11	Drama
11144	11	Sci-Fi
16241	12	Drama
7163	18	Horror
9296	13	Drama
615	11	Drama
12839	13	Drama
3619	14	Sci-Fi
2993	23	Music
7215	34	Fantasy
16396	11	Comedy
16634	10	Comedy
9428	10	Drama
11730	10	Romance
10866	11	Drama
9091	37	Family
5934	29	Crime
13122	15	Thriller
3358	14	Comedy
13462	19	Drama
3415	45	Comedy
3555	22	Drama
16083	10	Drama
13751	11	Drama
4614	73	Crime
16482	14	Romance
8822	11	Drama
16173	10	Western
2427	12	Animation
15584	12	Drama
17443	16	Drama
12275	19	Comedy
4190	18	Comedy
4233	21	Music
319	11	Action
7596	85	Drama
12249	25	Comedy
4577	12	Drama
2478	11	Crime
10046	13	Adult
5547	13	Drama
6098	11	Sci-Fi
11175	17	Drama
15871	17	Drama
5163	20	Drama
6837	14	Comedy
5778	14	Drama
11966	12	Adult
15139	30	Comedy
9336	10	Music
3075	43	Drama
8799	10	Romance
14631	14	Drama
13392	10	Adventure
11937	13	Comedy
6498	26	Music
16224	12	Drama
5322	19	Drama
276	12	Drama
15125	14	Comedy
735	23	Family
6110	22	Drama
3001	13	Music
15496	30	Comedy
1168	17	Drama
14762	13	Drama
11477	10	Thriller
2025	25	Drama
11618	20	Drama
9938	10	Drama
1108	52	Crime
3105	22	Comedy
4905	26	Drama
3832	19	Drama
3811	10	Drama
14172	11	Drama
15284	23	Family
12851	14	Drama
5419	14	Action
5345	11	Action
8555	16	Animation
10023	18	Adult
14101	11	Comedy
11291	10	Drama
15625	11	Drama
4978	11	Drama
2912	27	Comedy
10656	11	Comedy
9597	12	Romance
10747	15	Drama
7609	18	Comedy
9181	10	Romance
17583	11	Crime
14645	13	Drama
3327	17	Comedy
562	41	Comedy
14903	12	Adult
9868	22	Comedy
7530	32	Adult
4945	14	Drama
4246	12	Drama
3891	19	Comedy
15639	10	Drama
5987	27	Drama
9557	20	Comedy
10897	12	Comedy
10041	30	Adult
4836	16	Drama
17120	10	Comedy
7918	12	Drama
712	21	Comedy
6943	16	Drama
2895	16	Music
11003	16	Thriller
16460	13	Drama
2262	28	Drama
17093	10	Drama
6697	26	Sci-Fi
9419	10	Drama
2233	13	Comedy
7233	41	Drama
9161	12	Drama
4337	46	Comedy
7441	25	Drama
6797	19	Drama
10956	18	Drama
14963	13	Drama
13402	13	Drama
14118	10	Drama
12499	14	Adult
4768	10	Romance
1742	102	Adult
10827	43	Action
1207	14	Drama
391	39	Comedy
8019	19	Drama
6970	24	Drama
11895	10	Thriller
3324	26	Family
4262	104	Comedy
16189	14	Drama
443	26	Romance
12093	15	Romance
15908	14	Family
5233	12	Drama
14236	11	Drama
5135	22	Adult
2717	26	Family
15912	17	Drama
169	92	Adult
15362	17	Drama
12619	18	Drama
10431	20	Thriller
9089	23	Drama
1238	30	Thriller
6600	18	Family
12253	18	Romance
12702	15	Comedy
16487	12	Romance
14201	11	Drama
16676	14	Action
13968	23	Crime
8717	24	Drama
12048	15	Drama
13400	15	Mystery
13655	18	Drama
10088	23	Comedy
8583	13	Drama
6537	13	Drama
12005	80	Adult
9835	14	Drama
8316	13	Comedy
9619	37	Drama
4841	10	Drama
17215	10	Drama
3584	12	Drama
1240	11	Drama
7670	10	Romance
5333	15	Family
